"filename", "language", "YAML", "Dart", "Markdown", "JSON", "C++", "CMake", "Swift", "HTML", "XML", "Properties", "Gradle", "comment", "blank", "total"
"c:\Users\ahbaz\StudioProjects\kaio\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\ahbaz\StudioProjects\kaio\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"c:\Users\ahbaz\StudioProjects\kaio\android\app\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 5, 13, 73
"c:\Users\ahbaz\StudioProjects\kaio\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 0, 6, 1, 34
"c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\ahbaz\StudioProjects\kaio\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\ahbaz\StudioProjects\kaio\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\ahbaz\StudioProjects\kaio\android\build.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 0, 5, 32
"c:\Users\ahbaz\StudioProjects\kaio\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"c:\Users\ahbaz\StudioProjects\kaio\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"c:\Users\ahbaz\StudioProjects\kaio\android\settings.gradle", "Gradle", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"c:\Users\ahbaz\StudioProjects\kaio\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 2, 4, 13
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 2, 14
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\ahbaz\StudioProjects\kaio\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\FlipCarousel.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 31
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\cook.dart", "Dart", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 24, 17, 87
"c:\Users\ahbaz\StudioProjects\kaio\lib\Cuisines\recipe.dart", "Dart", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 134
"c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\CultureSelection.dart", "Dart", 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 5, 89
"c:\Users\ahbaz\StudioProjects\kaio\lib\Culture\Gallery.dart", "Dart", 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 56
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Container.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\DestinationSecondPage.dart", "Dart", 0, 210, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 219
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Features.dart", "Dart", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 43
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\Tab.dart", "Dart", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 49
"c:\Users\ahbaz\StudioProjects\kaio\lib\Destinations\desttemplate.dart", "Dart", 0, 175, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 186
"c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\Hc_papermachie.dart", "Dart", 0, 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 96
"c:\Users\ahbaz\StudioProjects\kaio\lib\Handicrafts\desc_Hc_pprmche.dart", "Dart", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Book.dart", "Dart", 0, 167, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 172
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\BookTemplate.dart", "Dart", 0, 124, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 130
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\Widget_Book.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\ahbaz\StudioProjects\kaio\lib\Literature\litera.dart", "Dart", 0, 148, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 163
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Cuisine.dart", "Dart", 0, 943, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 961
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\Culture.dart", "Dart", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 20
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\destinations.dart", "Dart", 0, 429, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 33, 463
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\handicrafts.dart", "Dart", 0, 1257, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 34, 1297
"c:\Users\ahbaz\StudioProjects\kaio\lib\MainScreens\literature.dart", "Dart", 0, 475, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 494
"c:\Users\ahbaz\StudioProjects\kaio\lib\constants.dart", "Dart", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\ahbaz\StudioProjects\kaio\lib\main.dart", "Dart", 0, 104, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 112
"c:\Users\ahbaz\StudioProjects\kaio\lib\widgets\CookCard.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 25
